HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N16.HOG0000054	OG0000037	n0													O9326_16465|hypothetical	ctg112_5|hypothetical						
N16.HOG0000055	OG0000039	n5													O9326_10955|hypothetical							
N16.HOG0000056	OG0000039	n10														ctg398_20|biosynthetic-additional						
N16.HOG0000057	OG0000040	n6														ctg398_18|hypothetical						
N16.HOG0000058	OG0000040	n10														ctg398_19|hypothetical						
N16.HOG0000059	OG0000041	n0														ctg398_15|transport						
N16.HOG0000060	OG0000042	n0													O9326_04745|biosynthetic-additional	ctg398_11|biosynthetic-additional						
N16.HOG0000061	OG0000043	n0													O9326_04740|biosynthetic	ctg398_10|biosynthetic						
N16.HOG0000062	OG0000044	n0													O9326_00410|biosynthetic-additional	ctg398_9|biosynthetic-additional						
N16.HOG0000063	OG0000045	n0													O9326_00430|biosynthetic-additional	ctg398_5|biosynthetic-additional						
N16.HOG0000064	OG0000046	n0													O9326_00435|hypothetical	ctg398_4|hypothetical						
N16.HOG0000065	OG0000047	n6													O9326_06140|biosynthetic-additional	ctg148_16|biosynthetic-additional						
N16.HOG0000066	OG0000047	n7													O9326_03835|biosynthetic-additional	ctg35_24|biosynthetic-additional						
N16.HOG0000067	OG0000048	n0													O9326_02705|biosynthetic-additional	ctg221_14|biosynthetic-additional						
N16.HOG0000068	OG0000049	n0													O9326_02750|biosynthetic-additional	ctg221_23|biosynthetic-additional						
N16.HOG0000069	OG0000050	n0													O9326_16470|hypothetical	ctg112_6|hypothetical						
N16.HOG0000070	OG0000051	n0													O9326_00440|hypothetical	ctg398_3|hypothetical						
N16.HOG0000071	OG0000052	n3													O9326_16475|hypothetical	ctg112_7|hypothetical						
N16.HOG0000072	OG0000053	n0														ctg398_16|other						
N16.HOG0000073	OG0000054	n0														ctg398_13|hypothetical						
N16.HOG0000074	OG0000055	n0													O9326_00445|transport	ctg398_2|transport						
N16.HOG0000075	OG0000056	n0													O9326_10280|biosynthetic-additional	ctg160_5|biosynthetic-additional						
N16.HOG0000076	OG0000057	n0													O9326_10320|other	ctg160_13|other						
N16.HOG0000077	OG0000058	n0													O9326_10375|hypothetical	ctg160_24|hypothetical						
N16.HOG0000078	OG0000059	n0													O9326_10380|transport	ctg160_25|transport						
N16.HOG0000079	OG0000060	n0													O9326_02755|hypothetical	ctg221_24|hypothetical						
N16.HOG0000080	OG0000061	n0														ctg122_14|hypothetical						
N16.HOG0000081	OG0000062	n1														ctg35_14|biosynthetic-additional, ctg35_13|biosynthetic-additional						
N16.HOG0000082	OG0000063	n0														ctg398_17|hypothetical						
N16.HOG0000083	OG0000065	n0													O9326_16485|hypothetical	ctg112_9|hypothetical						
N16.HOG0000084	OG0000066	n2														ctg160_34|hypothetical						
N16.HOG0000085	OG0000066	n6														ctg4_5|hypothetical						
N16.HOG0000086	OG0000067	n0														ctg35_10|hypothetical						
N16.HOG0000087	OG0000068	n0													O9326_22455|hypothetical	ctg148_9|hypothetical						
N16.HOG0000088	OG0000069	n0													O9326_22460|hypothetical	ctg148_10|hypothetical						
N16.HOG0000089	OG0000075	n0													O9326_10330|hypothetical	ctg160_15|hypothetical						
N16.HOG0000090	OG0000076	n0													O9326_11020|hypothetical, O9326_10370|hypothetical	ctg160_23|hypothetical						
N16.HOG0000091	OG0000077	n0														ctg221_12|hypothetical						
N16.HOG0000092	OG0000078	n0														ctg221_13|hypothetical						
N16.HOG0000093	OG0000080	n0													O9326_22445|hypothetical	ctg148_7|hypothetical						
N16.HOG0000094	OG0000081	n0													O9326_06170|biosynthetic-additional	ctg148_21|biosynthetic-additional						
N16.HOG0000095	OG0000082	n0													O9326_06175|biosynthetic-additional	ctg148_22|biosynthetic-additional						
N16.HOG0000096	OG0000083	n0													O9326_18770|hypothetical	ctg4_14|hypothetical						
N16.HOG0000097	OG0000084	n0													O9326_18765|hypothetical	ctg4_17|hypothetical						
N16.HOG0000098	OG0000085	n4													O9326_07110|hypothetical	ctg3_2|other						
N16.HOG0000099	OG0000088	n0														ctg188_6|biosynthetic-additional						
N16.HOG0000100	OG0000094	n0													O9326_11025|hypothetical, O9326_10345|hypothetical	ctg160_18|hypothetical						
N16.HOG0000101	OG0000095	n0													O9326_22450|hypothetical	ctg148_8|hypothetical						
N16.HOG0000102	OG0000096	n0														ctg4_18|hypothetical						
N16.HOG0000103	OG0000097	n0														ctg4_19|hypothetical						
N16.HOG0000104	OG0000098	n0														ctg4_20|hypothetical						
N16.HOG0000105	OG0000099	n0														ctg4_21|hypothetical						
N16.HOG0000106	OG0000102	n3														ctg122_6|hypothetical						
N16.HOG0000107	OG0000106	n0														ctg221_10|hypothetical						
N16.HOG0000108	OG0000107	n0														ctg221_11|hypothetical						
N16.HOG0000109	OG0000109	n0													O9326_16490|hypothetical	ctg112_10|hypothetical						
N16.HOG0000110	OG0000110	n0													O9326_16495|hypothetical	ctg112_12|hypothetical						
N16.HOG0000111	OG0000113	n0														ctg4_22|hypothetical						
N16.HOG0000112	OG0000114	n0														ctg35_22|hypothetical						
N16.HOG0000113	OG0000115	n0														ctg35_21|hypothetical						
N16.HOG0000114	OG0000116	n0														ctg35_20|hypothetical						
N16.HOG0000115	OG0000117	n0														ctg35_19|biosynthetic-additional						
N16.HOG0000116	OG0000118	n0														ctg35_18|hypothetical						
N16.HOG0000117	OG0000119	n0													O9326_10000|other	ctg304_11|other						
N16.HOG0000118	OG0000121	n0													O9326_07265|hypothetical	ctg194_11|hypothetical						
N16.HOG0000119	OG0000122	n0														ctg398_23|transport						
N16.HOG0000120	OG0000123	n0														ctg398_22|hypothetical						
N16.HOG0000121	OG0000124	n0														ctg398_21|hypothetical						
N16.HOG0000122	OG0000125	n0													O9326_11035|hypothetical, O9326_10335|hypothetical	ctg160_16|hypothetical						
N16.HOG0000123	OG0000126	n0														ctg221_9|hypothetical						
N16.HOG0000124	OG0000128	n0													O9326_09960|hypothetical							
N16.HOG0000125	OG0000132	n0													O9326_03850|hypothetical	ctg35_26|hypothetical						
N16.HOG0000126	OG0000133	n0														ctg35_11|hypothetical						
N16.HOG0000127	OG0000134	n0													O9326_07125|biosynthetic	ctg234_4|biosynthetic						
N16.HOG0000128	OG0000135	n0													O9326_07130|hypothetical	ctg234_9|hypothetical, ctg234_5|hypothetical						
N16.HOG0000129	OG0000136	n0													O9326_07135|biosynthetic	ctg234_10|biosynthetic, ctg234_6|biosynthetic						
N16.HOG0000130	OG0000141	n0													O9326_22435|hypothetical	ctg148_4|hypothetical						
N16.HOG0000131	OG0000144	n0													O9326_10365|hypothetical	ctg160_22|hypothetical						
N16.HOG0000132	OG0000145	n0													O9326_11045|hypothetical, O9326_10385|hypothetical	ctg160_26|hypothetical						
N16.HOG0000133	OG0000146	n0													O9326_11040|hypothetical, O9326_10390|hypothetical	ctg160_27|hypothetical						
N16.HOG0000134	OG0000148	n0														ctg221_8|biosynthetic-additional						
N16.HOG0000135	OG0000157	n0													O9326_23815|hypothetical	ctg122_13|hypothetical						
N16.HOG0000136	OG0000158	n0														ctg122_18|hypothetical						
N16.HOG0000137	OG0000161	n0														ctg35_9|hypothetical						
N16.HOG0000138	OG0000162	n0														ctg35_8|hypothetical						
N16.HOG0000139	OG0000163	n0														ctg35_7|hypothetical						
N16.HOG0000140	OG0000164	n0														ctg35_6|hypothetical						
N16.HOG0000141	OG0000165	n0														ctg35_4|hypothetical						
N16.HOG0000142	OG0000167	n0													O9326_10020|hypothetical	ctg304_15|hypothetical						
N16.HOG0000143	OG0000172	n0														ctg35_3|hypothetical						
N16.HOG0000144	OG0000173	n0														ctg35_2|hypothetical						
N16.HOG0000145	OG0000174	n0													O9326_22470|hypothetical	ctg148_13|hypothetical						
N16.HOG0000146	OG0000175	n0														ctg251_2|biosynthetic						
N16.HOG0000147	OG0000176	n0														ctg251_1|biosynthetic						
N16.HOG0000148	OG0000179	n0														ctg194_4|transport						
N16.HOG0000149	OG0000184	n0													O9326_06145|biosynthetic-additional	ctg148_17|biosynthetic-additional						
N16.HOG0000150	OG0000186	n0													O9326_10325|hypothetical	ctg160_14|hypothetical						
N16.HOG0000151	OG0000187	n0														ctg188_9|hypothetical						
N16.HOG0000152	OG0000188	n0														ctg194_2|hypothetical						
N16.HOG0000153	OG0000203	n0														ctg122_15|biosynthetic-additional						
N16.HOG0000154	OG0000204	n0														ctg122_16|biosynthetic-additional						
N16.HOG0000155	OG0000205	n0														ctg122_17|transport						
N16.HOG0000156	OG0000206	n0														ctg4_7|hypothetical						
N16.HOG0000157	OG0000210	n0													O9326_06185|hypothetical	ctg148_24|hypothetical						
N16.HOG0000158	OG0000211	n0													O9326_06190|hypothetical	ctg148_25|hypothetical						
N16.HOG0000159	OG0000212	n0													O9326_06195|regulatory	ctg148_26|regulatory						
N16.HOG0000160	OG0000213	n0													O9326_06200|hypothetical	ctg148_27|hypothetical						
N16.HOG0000161	OG0000214	n0													O9326_16455|biosynthetic-additional	ctg112_3|biosynthetic-additional						
N16.HOG0000162	OG0000215	n0													O9326_16450|hypothetical	ctg112_2|hypothetical						
N16.HOG0000163	OG0000216	n0													O9326_16445|hypothetical	ctg112_1|hypothetical						
N16.HOG0000164	OG0000220	n0													O9326_00660|biosynthetic	ctg188_1|biosynthetic						
N16.HOG0000165	OG0000221	n2														ctg122_20|hypothetical						
N16.HOG0000166	OG0000221	n3														ctg122_22|hypothetical						
N16.HOG0000167	OG0000223	n0													O9326_07245|biosynthetic	ctg194_6|biosynthetic						
N16.HOG0000168	OG0000227	n0													O9326_09975|hypothetical	ctg160_28|other						
N16.HOG0000169	OG0000235	n0													O9326_10355|hypothetical	ctg160_20|hypothetical						
N16.HOG0000170	OG0000237	n0													O9326_10265|other	ctg160_2|other						
N16.HOG0000171	OG0000238	n0													O9326_10270|other	ctg160_3|other						
N16.HOG0000172	OG0000253	n0														ctg4_2|hypothetical						
N16.HOG0000173	OG0000254	n0														ctg4_3|hypothetical						
N16.HOG0000174	OG0000255	n0														ctg4_6|hypothetical						
N16.HOG0000175	OG0000263	n0													O9326_06180|hypothetical	ctg148_23|hypothetical						
N16.HOG0000176	OG0000270	n0													O9326_03860|hypothetical	ctg35_28|hypothetical						
N16.HOG0000177	OG0000271	n0													O9326_03855|hypothetical	ctg35_27|hypothetical						
N16.HOG0000178	OG0000272	n0														ctg304_9|hypothetical						
N16.HOG0000179	OG0000276	n0														ctg122_21|hypothetical, ctg122_19|hypothetical						
N16.HOG0000180	OG0000280	n0														ctg122_9|hypothetical						
N16.HOG0000181	OG0000283	n0													O9326_07250|hypothetical	ctg194_7|hypothetical						
N16.HOG0000182	OG0000284	n0													O9326_07270|hypothetical	ctg194_13|hypothetical						
N16.HOG0000183	OG0000289	n0													O9326_07240|transport	ctg194_5|transport						
N16.HOG0000184	OG0000290	n0														ctg194_3|hypothetical, ctg194_12|hypothetical						
N16.HOG0000185	OG0000293	n0													O9326_07120|hypothetical	ctg234_3|hypothetical						
N16.HOG0000186	OG0000295	n0													O9326_22430|hypothetical	ctg148_2|hypothetical						
N16.HOG0000187	OG0000387	-													O9326_07140|hypothetical	ctg234_7|hypothetical, ctg234_8|hypothetical						
N16.HOG0000188	OG0000390	-														ctg304_1|hypothetical, ctg304_4|hypothetical, ctg304_6|hypothetical						
N16.HOG0000189	OG0000523	-													O9326_23805|hypothetical	ctg122_11|hypothetical						
N16.HOG0000190	OG0000524	-													O9326_10970|hypothetical, O9326_10965|biosynthetic-additional							
N16.HOG0000191	OG0000525	-													O9326_10985|hypothetical, O9326_10980|hypothetical							
N16.HOG0000192	OG0000527	-													O9326_13265|biosynthetic	ctg3_1|biosynthetic						
N16.HOG0000193	OG0000528	-													O9326_02760|hypothetical	ctg221_25|hypothetical						
N16.HOG0000194	OG0000529	-													O9326_22425|hypothetical	ctg148_1|hypothetical						
N16.HOG0000195	OG0000530	-														ctg188_11|hypothetical, ctg112_13|hypothetical						
N16.HOG0000196	OG0000532	-														ctg4_4|hypothetical, ctg4_9|hypothetical						
