HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N18.HOG0000056	OG0000031	n2																O9290_00980|biosynthetic-additional				
N18.HOG0000057	OG0000033	n0												ctg49_3|other								
N18.HOG0000058	OG0000037	n0																O9290_00615|hypothetical				
N18.HOG0000059	OG0000038	n10																O9290_00420|hypothetical				
N18.HOG0000060	OG0000041	n0																O9290_00945|transport				
N18.HOG0000061	OG0000047	n0												ctg326_4|biosynthetic-additional				O9290_26375|biosynthetic-additional				
N18.HOG0000062	OG0000048	n0																O9290_23365|biosynthetic-additional				
N18.HOG0000063	OG0000049	n0												ctg1209_12|biosynthetic-additional								
N18.HOG0000064	OG0000050	n0																O9290_00620|hypothetical				
N18.HOG0000065	OG0000052	n7																O9290_00625|hypothetical				
N18.HOG0000066	OG0000058	n0																O9290_15765|hypothetical				
N18.HOG0000067	OG0000059	n0																O9290_15770|transport				
N18.HOG0000068	OG0000061	n0												ctg357_1|biosynthetic-additional				O9290_18870|biosynthetic-additional, O9290_01010|hypothetical				
N18.HOG0000069	OG0000062	n7												ctg521_2|hypothetical								
N18.HOG0000070	OG0000062	n8												ctg521_3|hypothetical				O9290_26320|hypothetical, O9290_26325|hypothetical				
N18.HOG0000071	OG0000065	n0												ctg36_2|hypothetical				O9290_00635|hypothetical				
N18.HOG0000072	OG0000067	n0																O9290_26305|hypothetical				
N18.HOG0000073	OG0000068	n0																O9290_09235|hypothetical				
N18.HOG0000074	OG0000069	n0																O9290_09240|hypothetical				
N18.HOG0000075	OG0000070	n0												ctg1209_3|hypothetical, ctg224_1|biosynthetic				O9290_11895|biosynthetic				
N18.HOG0000076	OG0000071	n0																O9290_19105|hypothetical				
N18.HOG0000077	OG0000075	n0																O9290_15715|hypothetical				
N18.HOG0000078	OG0000076	n0																O9290_15760|hypothetical				
N18.HOG0000079	OG0000077	n0																O9290_23355|hypothetical				
N18.HOG0000080	OG0000078	n0																O9290_23360|hypothetical				
N18.HOG0000081	OG0000079	n0												ctg1648_2|hypothetical				O9290_04840|hypothetical				
N18.HOG0000082	OG0000080	n0																O9290_09225|hypothetical				
N18.HOG0000083	OG0000081	n0																O9290_18940|biosynthetic-additional				
N18.HOG0000084	OG0000082	n0																O9290_18945|biosynthetic-additional				
N18.HOG0000085	OG0000083	n0																O9290_04830|hypothetical				
N18.HOG0000086	OG0000084	n0																O9290_04825|hypothetical				
N18.HOG0000087	OG0000085	n2																O9290_07485|other				
N18.HOG0000088	OG0000085	n4																O9290_26250|hypothetical				
N18.HOG0000089	OG0000088	n0																O9290_00975|biosynthetic-additional				
N18.HOG0000090	OG0000089	n0																O9290_19110|other				
N18.HOG0000091	OG0000094	n0												ctg456_2|hypothetical				O9290_15730|hypothetical				
N18.HOG0000092	OG0000095	n0																O9290_09230|hypothetical				
N18.HOG0000093	OG0000096	n0																O9290_04820|hypothetical				
N18.HOG0000094	OG0000097	n0																O9290_04815|hypothetical				
N18.HOG0000095	OG0000098	n0																O9290_04810|hypothetical				
N18.HOG0000096	OG0000099	n0																O9290_04805|hypothetical				
N18.HOG0000097	OG0000105	n0																O9290_00370|hypothetical				
N18.HOG0000098	OG0000109	n0																O9290_00640|hypothetical				
N18.HOG0000099	OG0000110	n0																O9290_00645|hypothetical				
N18.HOG0000100	OG0000112	n2																O9290_20200|biosynthetic-additional				
N18.HOG0000101	OG0000113	n0																O9290_04800|hypothetical				
N18.HOG0000102	OG0000114	n0												ctg46_6|hypothetical				O9290_26365|hypothetical				
N18.HOG0000103	OG0000115	n0												ctg46_5|hypothetical				O9290_26360|hypothetical				
N18.HOG0000104	OG0000116	n0												ctg46_4|hypothetical				O9290_26355|hypothetical				
N18.HOG0000105	OG0000117	n0												ctg46_3|biosynthetic-additional				O9290_26350|biosynthetic-additional				
N18.HOG0000106	OG0000118	n0												ctg46_2|hypothetical				O9290_26345|hypothetical				
N18.HOG0000107	OG0000119	n0																O9290_00400|other				
N18.HOG0000108	OG0000125	n0																O9290_15720|hypothetical				
N18.HOG0000109	OG0000128	n0																O9290_00375|hypothetical				
N18.HOG0000110	OG0000129	n0																O9290_00650|hypothetical				
N18.HOG0000111	OG0000131	n0																O9290_18885|biosynthetic-additional				
N18.HOG0000112	OG0000132	n0												ctg326_1|hypothetical				O9290_26390|hypothetical				
N18.HOG0000113	OG0000133	n0																O9290_26310|hypothetical				
N18.HOG0000114	OG0000134	n0																O9290_20215|biosynthetic-additional				
N18.HOG0000115	OG0000139	n0																O9290_07560|hypothetical				
N18.HOG0000116	OG0000143	n0																O9290_00355|hypothetical				
N18.HOG0000117	OG0000144	n0																O9290_15755|hypothetical				
N18.HOG0000118	OG0000145	n0																O9290_15775|hypothetical				
N18.HOG0000119	OG0000146	n0																O9290_15780|hypothetical				
N18.HOG0000120	OG0000152	n0																O9290_07540|biosynthetic-additional				
N18.HOG0000121	OG0000153	n0																O9290_07535|hypothetical				
N18.HOG0000122	OG0000154	n0																O9290_07530|biosynthetic-additional				
N18.HOG0000123	OG0000155	n0																O9290_07515|hypothetical				
N18.HOG0000124	OG0000156	n0																O9290_07510|hypothetical				
N18.HOG0000125	OG0000157	n0																O9290_01005|hypothetical				
N18.HOG0000126	OG0000158	n0																O9290_01030|hypothetical				
N18.HOG0000127	OG0000159	n0																O9290_18890|hypothetical				
N18.HOG0000128	OG0000160	n0																O9290_18880|biosynthetic-additional				
N18.HOG0000129	OG0000161	n0																O9290_26300|hypothetical				
N18.HOG0000130	OG0000162	n0																O9290_26295|hypothetical				
N18.HOG0000131	OG0000163	n0																O9290_26290|hypothetical				
N18.HOG0000132	OG0000164	n0																O9290_26285|hypothetical				
N18.HOG0000133	OG0000165	n0																O9290_26280|hypothetical				
N18.HOG0000134	OG0000168	n0																O9290_00605|hypothetical				
N18.HOG0000135	OG0000169	n0																O9290_00600|hypothetical				
N18.HOG0000136	OG0000170	n0																O9290_00595|hypothetical				
N18.HOG0000137	OG0000171	n0																O9290_00590|hypothetical				
N18.HOG0000138	OG0000172	n0																O9290_26275|hypothetical				
N18.HOG0000139	OG0000173	n0																O9290_26265|hypothetical				
N18.HOG0000140	OG0000178	n0												ctg206_1|biosynthetic-additional, ctg1684_2|biosynthetic-additional, ctg1209_15|biosynthetic, ctg1209_14|biosynthetic, ctg1209_36|biosynthetic, ctg49_4|biosynthetic								
N18.HOG0000141	OG0000182	n0												ctg326_2|hypothetical								
N18.HOG0000142	OG0000187	n0																O9290_07600|hypothetical				
N18.HOG0000143	OG0000202	n0																O9290_20205|biosynthetic				
N18.HOG0000144	OG0000203	n0																O9290_01015|biosynthetic-additional				
N18.HOG0000145	OG0000204	n0																O9290_01020|biosynthetic-additional				
N18.HOG0000146	OG0000205	n0																O9290_01025|transport				
N18.HOG0000147	OG0000207	n0												ctg1648_5|hypothetical				O9290_04855|hypothetical				
N18.HOG0000148	OG0000208	n0												ctg1648_4|hypothetical				O9290_04850|hypothetical				
N18.HOG0000149	OG0000209	n0																O9290_18900|hypothetical, O9290_07500|hypothetical				
N18.HOG0000150	OG0000210	n0																O9290_18955|hypothetical				
N18.HOG0000151	OG0000211	n0																O9290_18970|hypothetical				
N18.HOG0000152	OG0000212	n0																O9290_18975|regulatory				
N18.HOG0000153	OG0000213	n0																O9290_18980|hypothetical				
N18.HOG0000154	OG0000220	n0												ctg849_1|biosynthetic-additional				O9290_00995|biosynthetic				
N18.HOG0000155	OG0000221	n2																O9290_01040|hypothetical				
N18.HOG0000156	OG0000221	n3																O9290_00955|hypothetical				
N18.HOG0000157	OG0000236	n0																O9290_00350|other				
N18.HOG0000158	OG0000239	n0																O9290_15745|hypothetical				
N18.HOG0000159	OG0000240	n0																O9290_15750|hypothetical				
N18.HOG0000160	OG0000244	n0																O9290_20195|hypothetical				
N18.HOG0000161	OG0000256	n0																O9290_08285|hypothetical, O9290_08275|hypothetical				
N18.HOG0000162	OG0000260	n0												ctg1648_3|hypothetical				O9290_04845|hypothetical				
N18.HOG0000163	OG0000261	n0																O9290_18905|hypothetical				
N18.HOG0000164	OG0000262	n0																O9290_18895|other				
N18.HOG0000165	OG0000264	n0												ctg555_2|hypothetical				O9290_11910|hypothetical				
N18.HOG0000166	OG0000265	n0																O9290_11925|biosynthetic-additional				
N18.HOG0000167	OG0000266	n0																O9290_11930|biosynthetic-additional, O9290_20210|biosynthetic-additional				
N18.HOG0000168	OG0000267	n0																O9290_21750|biosynthetic				
N18.HOG0000169	OG0000268	n0																O9290_24115|biosynthetic				
N18.HOG0000170	OG0000273	n0																O9290_00580|hypothetical				
N18.HOG0000171	OG0000274	n0																O9290_00575|hypothetical				
N18.HOG0000172	OG0000275	n0																O9290_00570|hypothetical				
N18.HOG0000173	OG0000276	n0																O9290_01035|hypothetical				
N18.HOG0000174	OG0000277	n0																O9290_26260|hypothetical				
N18.HOG0000175	OG0000278	n0																O9290_26255|hypothetical				
N18.HOG0000176	OG0000281	n0												ctg1209_6|other, ctg1209_18|other, ctg1209_35|other								
N18.HOG0000177	OG0000288	n0																O9290_00890|hypothetical				
N18.HOG0000178	OG0000289	n0												ctg1209_31|transport								
N18.HOG0000179	OG0000292	n0																O9290_20220|hypothetical, O9290_19145|hypothetical, O9290_18965|hypothetical				
N18.HOG0000180	OG0000294	n1												ctg30_2|biosynthetic-additional				O9290_08310|biosynthetic-additional				
N18.HOG0000181	OG0000294	n2												ctg30_1|biosynthetic-additional				O9290_08315|biosynthetic-additional				
N18.HOG0000182	OG0000384	-												ctg46_7|biosynthetic-additional, ctg1366_1|hypothetical, ctg49_1|biosynthetic								
N18.HOG0000183	OG0000385	-												ctg49_5|hypothetical, ctg206_3|hypothetical, ctg1162_1|biosynthetic								
N18.HOG0000184	OG0000521	-												ctg30_3|hypothetical				O9290_08305|hypothetical				
N18.HOG0000185	OG0000522	-												ctg1209_5|hypothetical, ctg1209_23|hypothetical								
N18.HOG0000186	OG0000541	-																O9290_07615|other, O9290_07620|other				
N18.HOG0000187	OG0000542	-																allorf_01049_01237|biosynthetic-additional, O9290_00885|hypothetical				
N18.HOG0000188	OG0000543	-																O9290_00940|hypothetical, O9290_00930|hypothetical				
N18.HOG0000189	OG0000544	-																O9290_08280|hypothetical, O9290_08290|hypothetical				
N18.HOG0000190	OG0000545	-																O9290_20230|hypothetical, O9290_20245|hypothetical				
