HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N10.HOG0000029	OG0000007	n5				ctg725_5|regulatory							O9338_19575|regulatory									
N10.HOG0000030	OG0000008	n4				ctg645_5|biosynthetic-additional							O9338_06820|biosynthetic-additional									
N10.HOG0000031	OG0000008	n9				ctg645_4|biosynthetic-additional							O9338_06815|biosynthetic-additional									
N10.HOG0000032	OG0000008	n14				ctg46_12|biosynthetic-additional																
N10.HOG0000033	OG0000009	n11				ctg403_3|hypothetical							O9338_08835|hypothetical									
N10.HOG0000034	OG0000009	n17				ctg202_2|hypothetical							O9338_09210|hypothetical									
N10.HOG0000035	OG0000009	n18				ctg202_17|hypothetical							O9338_09280|hypothetical									
N10.HOG0000036	OG0000010	n0				ctg763_3|other							O9338_01120|other									
N10.HOG0000037	OG0000011	n0				ctg763_4|biosynthetic-additional							O9338_01115|biosynthetic-additional									
N10.HOG0000038	OG0000012	n0				ctg763_5|biosynthetic							O9338_01110|biosynthetic									
N10.HOG0000039	OG0000013	n0				ctg527_23|biosynthetic							O9338_13160|biosynthetic									
N10.HOG0000040	OG0000014	n10				ctg35_11|hypothetical																
N10.HOG0000041	OG0000014	n11				ctg35_13|biosynthetic																
N10.HOG0000042	OG0000015	n0				ctg763_6|hypothetical							O9338_01105|hypothetical									
N10.HOG0000043	OG0000016	n0				ctg527_24|hypothetical							O9338_13155|hypothetical									
N10.HOG0000044	OG0000017	n0				ctg527_26|hypothetical							O9338_13150|hypothetical									
N10.HOG0000045	OG0000018	n0				ctg725_13|hypothetical							O9338_19545|hypothetical									
N10.HOG0000046	OG0000019	n0				ctg725_12|biosynthetic							O9338_19550|biosynthetic									
N10.HOG0000047	OG0000020	n0				ctg725_17|hypothetical							O9338_19530|hypothetical									
N10.HOG0000048	OG0000021	n0				ctg725_14|hypothetical							O9338_19540|hypothetical									
N10.HOG0000049	OG0000022	n0				ctg725_11|hypothetical							O9338_19555|hypothetical									
N10.HOG0000050	OG0000023	n0				ctg763_2|hypothetical							O9338_01125|hypothetical									
N10.HOG0000051	OG0000024	n3				ctg682_5|hypothetical																
N10.HOG0000052	OG0000024	n8				ctg608_25|hypothetical							O9338_13415|hypothetical									
N10.HOG0000053	OG0000024	n10				ctg682_6|hypothetical							O9338_13420|hypothetical									
N10.HOG0000054	OG0000025	n0				ctg527_22|hypothetical							O9338_13165|hypothetical									
N10.HOG0000055	OG0000027	n0				ctg725_19|hypothetical							O9338_19520|hypothetical									
N10.HOG0000056	OG0000028	n0				ctg725_18|hypothetical							O9338_19525|hypothetical									
N10.HOG0000057	OG0000029	n0				ctg763_1|other							O9338_01130|other									
N10.HOG0000058	OG0000031	n1				ctg148_26|biosynthetic-additional																
N10.HOG0000059	OG0000032	n3				ctg608_13|transport							O9338_13475|transport									
N10.HOG0000060	OG0000032	n13				ctg148_31|transport																
N10.HOG0000061	OG0000033	n0				ctg608_11|other							O9338_13485|other									
N10.HOG0000062	OG0000037	n0				ctg104_7|hypothetical							O9338_13700|hypothetical									
N10.HOG0000063	OG0000038	n1				ctg725_6|other																
N10.HOG0000064	OG0000039	n3				ctg608_20|biosynthetic-additional							O9338_13445|biosynthetic-additional									
N10.HOG0000065	OG0000040	n6				ctg608_18|hypothetical							O9338_13455|hypothetical									
N10.HOG0000066	OG0000040	n10				ctg608_19|hypothetical							O9338_13450|hypothetical									
N10.HOG0000067	OG0000041	n0				ctg608_14|transport, ctg148_32|transport							O9338_13470|transport									
N10.HOG0000068	OG0000042	n0				ctg608_10|biosynthetic-additional							O9338_13490|biosynthetic-additional									
N10.HOG0000069	OG0000043	n0				ctg608_9|biosynthetic							O9338_13495|biosynthetic									
N10.HOG0000070	OG0000044	n0				ctg608_8|biosynthetic-additional							O9338_13500|biosynthetic-additional									
N10.HOG0000071	OG0000045	n0				ctg608_4|biosynthetic-additional							O9338_13520|biosynthetic-additional									
N10.HOG0000072	OG0000046	n0				ctg608_3|hypothetical							O9338_13525|hypothetical									
N10.HOG0000073	OG0000048	n0				ctg527_20|biosynthetic-additional							O9338_13175|biosynthetic-additional									
N10.HOG0000074	OG0000050	n0				ctg104_5|hypothetical							O9338_13690|hypothetical									
N10.HOG0000075	OG0000051	n0				ctg608_2|hypothetical							O9338_13530|hypothetical									
N10.HOG0000076	OG0000052	n3											O9338_13680|hypothetical									
N10.HOG0000077	OG0000052	n11				ctg104_3|hypothetical																
N10.HOG0000078	OG0000053	n0				ctg608_15|other							O9338_13465|other									
N10.HOG0000079	OG0000054	n0				ctg608_12|hypothetical							O9338_13480|hypothetical									
N10.HOG0000080	OG0000055	n0				ctg608_1|transport							O9338_13535|transport									
N10.HOG0000081	OG0000058	n0				ctg682_13|hypothetical																
N10.HOG0000082	OG0000059	n0				ctg682_14|transport																
N10.HOG0000083	OG0000061	n0				ctg148_20|hypothetical, ctg217_2|biosynthetic-additional							O9338_16160|biosynthetic-additional									
N10.HOG0000084	OG0000062	n7				ctg46_15|hypothetical																
N10.HOG0000085	OG0000062	n8				ctg46_14|hypothetical																
N10.HOG0000086	OG0000063	n0				ctg608_16|hypothetical							O9338_13460|hypothetical									
N10.HOG0000087	OG0000064	n0				ctg104_6|hypothetical							O9338_13695|hypothetical									
N10.HOG0000088	OG0000065	n0				ctg156_3|hypothetical							O9338_10150|hypothetical									
N10.HOG0000089	OG0000067	n0				ctg46_18|hypothetical																
N10.HOG0000090	OG0000068	n0				ctg444_1|hypothetical							O9338_07650|hypothetical									
N10.HOG0000091	OG0000069	n0				ctg444_2|hypothetical							O9338_07655|hypothetical									
N10.HOG0000092	OG0000070	n0				ctg3_2|biosynthetic							O9338_18185|biosynthetic									
N10.HOG0000093	OG0000071	n0				ctg432_12|hypothetical							O9338_03065|hypothetical									
N10.HOG0000094	OG0000072	n0				ctg432_9|hypothetical							O9338_03055|hypothetical									
N10.HOG0000095	OG0000073	n0				ctg432_8|hypothetical							O9338_03050|hypothetical									
N10.HOG0000096	OG0000074	n0				ctg432_7|biosynthetic-additional							O9338_03040|biosynthetic-additional									
N10.HOG0000097	OG0000075	n0				ctg202_22|hypothetical, ctg682_1|hypothetical							O9338_09305|hypothetical									
N10.HOG0000098	OG0000076	n0				ctg682_11|hypothetical																
N10.HOG0000099	OG0000079	n0				ctg35_10|hypothetical																
N10.HOG0000100	OG0000083	n0				ctg35_14|hypothetical																
N10.HOG0000101	OG0000084	n0				ctg35_15|hypothetical																
N10.HOG0000102	OG0000085	n2				ctg241_3|hypothetical																
N10.HOG0000103	OG0000086	n0				ctg217_7|other																
N10.HOG0000104	OG0000087	n0				ctg608_26|hypothetical							O9338_13410|hypothetical									
N10.HOG0000105	OG0000088	n0				ctg148_27|biosynthetic-additional																
N10.HOG0000106	OG0000089	n0				ctg432_13|other							O9338_03075|other									
N10.HOG0000107	OG0000090	n0				ctg432_5|hypothetical							O9338_03030|hypothetical									
N10.HOG0000108	OG0000091	n0				ctg432_4|hypothetical							O9338_03025|hypothetical									
N10.HOG0000109	OG0000092	n0				ctg432_3|hypothetical							O9338_03020|hypothetical									
N10.HOG0000110	OG0000094	n0				ctg682_4|hypothetical																
N10.HOG0000111	OG0000096	n0				ctg35_16|hypothetical																
N10.HOG0000112	OG0000097	n0				ctg35_17|hypothetical																
N10.HOG0000113	OG0000098	n0				ctg35_18|hypothetical																
N10.HOG0000114	OG0000099	n0				ctg35_19|hypothetical																
N10.HOG0000115	OG0000102	n3				ctg608_24|hypothetical																
N10.HOG0000116	OG0000103	n0				ctg432_15|biosynthetic-additional							O9338_03085|biosynthetic-additional									
N10.HOG0000117	OG0000104	n0				ctg432_14|hypothetical							O9338_03080|hypothetical									
N10.HOG0000118	OG0000105	n0				ctg725_9|hypothetical							O9338_19565|hypothetical									
N10.HOG0000119	OG0000109	n0				ctg156_2|hypothetical							O9338_10145|hypothetical									
N10.HOG0000120	OG0000110	n0				ctg156_1|hypothetical							O9338_10140|hypothetical									
N10.HOG0000121	OG0000112	n2				ctg241_2|hypothetical																
N10.HOG0000122	OG0000112	n6				ctg645_1|biosynthetic-additional																
N10.HOG0000123	OG0000113	n0				ctg35_20|hypothetical																
N10.HOG0000124	OG0000114	n0				ctg46_5|hypothetical																
N10.HOG0000125	OG0000115	n0				ctg46_6|hypothetical																
N10.HOG0000126	OG0000116	n0				ctg46_7|hypothetical																
N10.HOG0000127	OG0000117	n0				ctg46_8|biosynthetic-additional																
N10.HOG0000128	OG0000118	n0				ctg46_9|hypothetical																
N10.HOG0000129	OG0000119	n0				ctg725_16|other							O9338_19535|other									
N10.HOG0000130	OG0000120	n1				ctg202_12|hypothetical							O9338_09260|hypothetical									
N10.HOG0000131	OG0000120	n4				ctg202_9|hypothetical							O9338_09245|hypothetical									
N10.HOG0000132	OG0000120	n5				ctg202_11|hypothetical							O9338_09255|hypothetical									
N10.HOG0000133	OG0000120	n6				ctg202_10|hypothetical							O9338_09250|hypothetical									
N10.HOG0000134	OG0000122	n0				ctg608_23|transport							O9338_13425|transport									
N10.HOG0000135	OG0000123	n0				ctg608_22|hypothetical							O9338_13430|hypothetical									
N10.HOG0000136	OG0000124	n0				ctg608_21|hypothetical							O9338_13440|hypothetical									
N10.HOG0000137	OG0000125	n0				ctg682_2|hypothetical																
N10.HOG0000138	OG0000128	n0				ctg725_10|hypothetical							O9338_19560|hypothetical									
N10.HOG0000139	OG0000130	n0				ctg35_9|hypothetical																
N10.HOG0000140	OG0000131	n0				ctg217_5|biosynthetic-additional							O9338_16145|biosynthetic-additional									
N10.HOG0000141	OG0000132	n0				ctg46_1|hypothetical																
N10.HOG0000142	OG0000133	n0				ctg46_17|hypothetical																
N10.HOG0000143	OG0000134	n0				ctg456_2|biosynthetic							O9338_07815|biosynthetic									
N10.HOG0000144	OG0000135	n0				ctg456_3|hypothetical							O9338_07820|hypothetical									
N10.HOG0000145	OG0000136	n0				ctg456_4|biosynthetic							O9338_07825|biosynthetic									
N10.HOG0000146	OG0000137	n0				ctg432_18|biosynthetic-additional							O9338_03095|biosynthetic-additional									
N10.HOG0000147	OG0000138	n0				ctg202_24|hypothetical							O9338_09315|hypothetical									
N10.HOG0000148	OG0000142	n0				ctg432_17|hypothetical							O9338_03090|hypothetical									
N10.HOG0000149	OG0000143	n0				ctg725_4|hypothetical							O9338_19580|hypothetical									
N10.HOG0000150	OG0000144	n0				ctg682_9|hypothetical																
N10.HOG0000151	OG0000152	n0				ctg645_8|biosynthetic-additional							O9338_06835|biosynthetic-additional									
N10.HOG0000152	OG0000153	n0				ctg645_7|hypothetical							O9338_06830|hypothetical									
N10.HOG0000153	OG0000154	n0				ctg645_6|biosynthetic-additional							O9338_06825|biosynthetic-additional									
N10.HOG0000154	OG0000155	n0				ctg645_3|hypothetical							O9338_06810|hypothetical									
N10.HOG0000155	OG0000156	n0				ctg645_2|hypothetical							O9338_06805|hypothetical									
N10.HOG0000156	OG0000157	n0				ctg148_21|hypothetical																
N10.HOG0000157	OG0000158	n0				ctg148_15|hypothetical, ctg148_16|hypothetical																
N10.HOG0000158	OG0000159	n0				ctg217_6|hypothetical							O9338_16140|hypothetical									
N10.HOG0000159	OG0000160	n0				ctg217_4|biosynthetic-additional							O9338_16150|biosynthetic-additional									
N10.HOG0000160	OG0000161	n0				ctg46_19|hypothetical																
N10.HOG0000161	OG0000162	n0				ctg46_20|hypothetical																
N10.HOG0000162	OG0000163	n0				ctg46_21|hypothetical																
N10.HOG0000163	OG0000164	n0				ctg46_22|hypothetical																
N10.HOG0000164	OG0000165	n0				ctg46_23|hypothetical																
N10.HOG0000165	OG0000166	n0				ctg432_19|hypothetical							O9338_03100|hypothetical									
N10.HOG0000166	OG0000167	n0				ctg725_20|hypothetical							O9338_19515|hypothetical									
N10.HOG0000167	OG0000168	n0				ctg104_9|hypothetical							O9338_13710|hypothetical									
N10.HOG0000168	OG0000169	n0				ctg104_10|hypothetical							O9338_13715|hypothetical									
N10.HOG0000169	OG0000170	n0				ctg104_11|hypothetical							O9338_13720|hypothetical									
N10.HOG0000170	OG0000171	n0				ctg104_12|hypothetical							O9338_13725|hypothetical									
N10.HOG0000171	OG0000172	n0				ctg46_24|hypothetical																
N10.HOG0000172	OG0000173	n0				ctg46_25|hypothetical																
N10.HOG0000173	OG0000174	n0				ctg202_16|hypothetical							O9338_09275|hypothetical									
N10.HOG0000174	OG0000181	n0				ctg725_21|hypothetical							O9338_19510|hypothetical									
N10.HOG0000175	OG0000185	n0				ctg432_2|biosynthetic-additional							O9338_03015|biosynthetic-additional									
N10.HOG0000176	OG0000187	n0				ctg217_1|hypothetical							O9338_16165|hypothetical									
N10.HOG0000177	OG0000202	n0				ctg241_1|biosynthetic																
N10.HOG0000178	OG0000203	n0				ctg148_19|biosynthetic-additional																
N10.HOG0000179	OG0000204	n0				ctg148_18|biosynthetic-additional																
N10.HOG0000180	OG0000205	n0				ctg148_17|transport																
N10.HOG0000181	OG0000206	n0				ctg35_1|hypothetical																
N10.HOG0000182	OG0000207	n0				ctg35_6|hypothetical																
N10.HOG0000183	OG0000208	n0				ctg35_7|hypothetical																
N10.HOG0000184	OG0000220	n0				ctg148_23|biosynthetic																
N10.HOG0000185	OG0000221	n0				ctg148_30|hypothetical																
N10.HOG0000186	OG0000239	n0				ctg682_7|hypothetical																
N10.HOG0000187	OG0000240	n0				ctg682_8|hypothetical																
N10.HOG0000188	OG0000260	n0				ctg35_8|hypothetical																
N10.HOG0000189	OG0000267	n0				ctg286_2|biosynthetic																
N10.HOG0000190	OG0000268	n0				ctg204_2|biosynthetic							O9338_12555|biosynthetic									
N10.HOG0000191	OG0000272	n0				ctg725_15|hypothetical																
N10.HOG0000192	OG0000273	n0				ctg104_13|hypothetical							O9338_13730|hypothetical									
N10.HOG0000193	OG0000274	n0				ctg104_14|hypothetical							O9338_13735|hypothetical									
N10.HOG0000194	OG0000275	n0				ctg104_15|hypothetical							O9338_13740|hypothetical									
N10.HOG0000195	OG0000276	n0				ctg148_14|hypothetical																
N10.HOG0000196	OG0000277	n0				ctg46_26|hypothetical																
N10.HOG0000197	OG0000278	n0				ctg46_27|hypothetical																
N10.HOG0000198	OG0000279	n0				ctg46_29|hypothetical																
N10.HOG0000199	OG0000292	n0											O9338_01100|hypothetical									
N10.HOG0000200	OG0000293	n0											O9338_07805|hypothetical									
N10.HOG0000201	OG0000345	-				ctg405_2|biosynthetic, ctg202_7|biosynthetic							O9338_09235|biosynthetic									
N10.HOG0000202	OG0000483	-				ctg725_3|hypothetical							O9338_19585|hypothetical									
N10.HOG0000203	OG0000484	-				ctg104_4|hypothetical							O9338_13685|hypothetical									
N10.HOG0000204	OG0000486	-				ctg202_3|biosynthetic-additional							O9338_09215|biosynthetic-additional									
N10.HOG0000205	OG0000487	-				ctg202_4|biosynthetic-additional							O9338_09220|biosynthetic-additional									
N10.HOG0000206	OG0000488	-				ctg202_5|biosynthetic-additional							O9338_09225|biosynthetic-additional									
N10.HOG0000207	OG0000489	-				ctg202_6|hypothetical							O9338_09230|hypothetical									
N10.HOG0000208	OG0000490	-				ctg202_8|biosynthetic-additional							O9338_09240|biosynthetic-additional									
N10.HOG0000209	OG0000491	-				ctg202_13|hypothetical							O9338_09265|hypothetical									
N10.HOG0000210	OG0000492	-				ctg202_18|hypothetical							O9338_09285|hypothetical									
N10.HOG0000211	OG0000493	-				ctg202_19|hypothetical							O9338_09290|hypothetical									
N10.HOG0000212	OG0000494	-				ctg202_20|hypothetical							O9338_09295|hypothetical									
N10.HOG0000213	OG0000495	-				ctg202_21|hypothetical							O9338_09300|hypothetical									
N10.HOG0000214	OG0000496	-				ctg202_23|hypothetical							O9338_09310|hypothetical									
N10.HOG0000215	OG0000497	-				ctg202_25|hypothetical							O9338_09320|hypothetical									
