HOG	OG	Gene Tree Parent Clade	LE17_10A	LE17_20C	LE18_22.4.newname	LE19_10.1C	LE19_114.1A	LE19_12.1	LE19_131.1	LE19_195.1	LE19_196.1	LE19_197	LE19_251	LE19_281	LE19_338.1	LE19_388.1C	LE19_4.1A	LE19_41.2	LE19_55.1	LE19_8.1	LE19_84.1	LE19_98.1
N1.HOG0000047	OG0000007	n13	ctg35_47|hypothetical, ctg35_48|biosynthetic-additional		ctg431_34|regulatory					O9300_09090|regulatory						ctg160_4|regulatory	ctg168_31|hypothetical, ctg168_30|biosynthetic-additional		O9299_19070|regulatory			O9336_00685|regulatory
N1.HOG0000048	OG0000008	n4		ctg196_8|biosynthetic-additional		ctg645_5|biosynthetic-additional							O9338_06820|biosynthetic-additional					O9290_07525|biosynthetic-additional		O9334_21275|biosynthetic-additional		
N1.HOG0000049	OG0000008	n9		ctg196_9|biosynthetic-additional		ctg645_4|biosynthetic-additional							O9338_06815|biosynthetic-additional					O9290_07520|biosynthetic-additional		O9334_21280|biosynthetic-additional		
N1.HOG0000050	OG0000008	n14			ctg138_19|biosynthetic-additional, ctg639_16|biosynthetic-additional	ctg46_12|biosynthetic-additional												O9290_26335|biosynthetic-additional	O9299_05510|biosynthetic-additional		O9324_11525|biosynthetic-additional	O9336_11300|biosynthetic-additional
N1.HOG0000051	OG0000009	n0	ctg52_44|hypothetical		ctg489_12|hypothetical	ctg403_3|hypothetical, ctg202_2|hypothetical, ctg202_17|hypothetical	ctg136_2|hypothetical	O9329_18640|hypothetical			O9275_17000|hypothetical	ctg16_56|hypothetical	O9338_08835|hypothetical, O9338_09210|hypothetical, O9338_09280|hypothetical	ctg994_2|hypothetical	O9326_06155|hypothetical	ctg148_19|hypothetical		O9290_18930|hypothetical	O9299_17980|hypothetical		O9324_21715|hypothetical	O9336_14835|hypothetical
N1.HOG0000052	OG0000010	n0	ctg35_52|other	ctg158_53|other	ctg431_30|other	ctg763_3|other	ctg130_17|other	O9329_20430|other		O9300_09070|other	O9275_01090|other	ctg107_4|other	O9338_01120|other	ctg993_1|other	O9326_10295|other	ctg160_8|other	ctg168_26|other	O9290_19125|other	O9299_19090|other	O9334_08775|other	O9324_21645|other	O9336_00705|other
N1.HOG0000053	OG0000011	n0	ctg35_53|biosynthetic-additional	ctg158_54|biosynthetic-additional	ctg431_29|biosynthetic-additional	ctg763_4|biosynthetic-additional	ctg130_16|biosynthetic-additional	O9329_20435|biosynthetic-additional		O9300_09065|biosynthetic-additional	O9275_01095|biosynthetic-additional	ctg107_5|biosynthetic-additional	O9338_01115|biosynthetic-additional	ctg993_2|biosynthetic-additional	O9326_10300|biosynthetic-additional	ctg160_9|biosynthetic-additional	ctg168_25|biosynthetic-additional	O9290_19130|biosynthetic-additional	O9299_19095|biosynthetic-additional	O9334_08770|biosynthetic-additional	O9324_16780|biosynthetic-additional	O9336_00710|biosynthetic-additional
N1.HOG0000054	OG0000012	n0	ctg35_54|biosynthetic	ctg158_55|biosynthetic	ctg431_28|biosynthetic	ctg763_5|biosynthetic	ctg130_15|biosynthetic	O9329_20440|biosynthetic		O9300_09060|biosynthetic	O9275_01100|biosynthetic	ctg107_6|biosynthetic	O9338_01110|biosynthetic	ctg993_3|biosynthetic	O9326_10305|biosynthetic	ctg160_10|biosynthetic	ctg168_24|biosynthetic	O9290_19135|biosynthetic	O9299_19100|biosynthetic	O9334_08765|biosynthetic	O9324_16775|biosynthetic	O9336_00715|biosynthetic
N1.HOG0000055	OG0000013	n0	ctg38_43|biosynthetic	ctg161_43|biosynthetic	ctg46_8|biosynthetic	ctg527_23|biosynthetic	ctg109_31|biosynthetic	O9329_24755|biosynthetic		O9300_15375|biosynthetic	O9275_00740|biosynthetic	ctg93_22|biosynthetic	O9338_13160|biosynthetic	ctg562_1|biosynthetic	O9326_02715|biosynthetic	ctg221_16|biosynthetic	ctg3_43|biosynthetic	O9290_23380|biosynthetic	O9299_01680|biosynthetic	O9334_01935|biosynthetic	O9324_03715|biosynthetic	O9336_08800|biosynthetic
N1.HOG0000056	OG0000014	n0		ctg83_24|biosynthetic, ctg83_28|biosynthetic	ctg98_3|biosynthetic	ctg35_11|hypothetical, ctg35_13|biosynthetic		O9329_04825|biosynthetic, O9329_09645|biosynthetic				ctg26_42|biosynthetic, ctg26_37|biosynthetic		ctg1648_1|biosynthetic	O9326_18775|biosynthetic	ctg4_13|biosynthetic		O9290_04835|biosynthetic	O9299_07745|biosynthetic, O9299_07720|biosynthetic	O9334_06845|biosynthetic, O9334_06865|biosynthetic	O9324_06505|biosynthetic	O9336_12240|biosynthetic, O9336_12215|biosynthetic
N1.HOG0000057	OG0000015	n0	ctg35_55|hypothetical	ctg158_56|hypothetical	ctg431_27|hypothetical	ctg763_6|hypothetical	ctg130_14|hypothetical	O9329_20445|hypothetical		O9300_09055|hypothetical	O9275_01105|hypothetical	ctg107_7|hypothetical	O9338_01105|hypothetical		O9326_10310|hypothetical	ctg160_11|hypothetical	ctg168_23|hypothetical	O9290_19140|hypothetical	O9299_19105|hypothetical	O9334_08760|hypothetical	O9324_16770|hypothetical	O9336_00720|hypothetical
N1.HOG0000058	OG0000016	n0	ctg38_45|hypothetical	ctg161_42|hypothetical	ctg46_7|hypothetical	ctg527_24|hypothetical	ctg109_32|hypothetical	O9329_24760|hypothetical		O9300_15370|hypothetical		ctg93_23|hypothetical	O9338_13155|hypothetical	ctg562_2|hypothetical	O9326_02720|hypothetical	ctg221_17|hypothetical	ctg3_44|hypothetical	O9290_23385|hypothetical	O9299_01675|hypothetical	O9334_01930|hypothetical	O9324_03720|hypothetical	O9336_08805|hypothetical
N1.HOG0000059	OG0000017	n0	ctg38_46|hypothetical	ctg161_41|hypothetical	ctg46_6|hypothetical	ctg527_26|hypothetical	ctg109_33|hypothetical	O9329_24765|hypothetical		O9300_15365|hypothetical		ctg93_24|hypothetical	O9338_13150|hypothetical	ctg562_3|hypothetical	O9326_02725|hypothetical	ctg221_18|hypothetical	ctg3_45|hypothetical	O9290_23390|hypothetical	O9299_01670|hypothetical	O9334_01925|hypothetical	O9324_03725|hypothetical	O9336_08810|hypothetical
N1.HOG0000060	OG0000018	n0	ctg31_15|hypothetical	ctg207_7|hypothetical	ctg388_3|hypothetical	ctg725_13|hypothetical	ctg151_13|hypothetical	O9329_22565|hypothetical			O9275_18055|hypothetical	ctg327_20|hypothetical	O9338_19545|hypothetical		O9326_09990|hypothetical	ctg304_7|hypothetical	ctg188_15|hypothetical	O9290_00390|hypothetical	O9299_03950|hypothetical	O9334_03680|hypothetical	O9324_00085|hypothetical	O9336_11520|hypothetical
N1.HOG0000061	OG0000019	n0	ctg31_16|biosynthetic	ctg207_8|biosynthetic	ctg388_2|biosynthetic	ctg725_12|biosynthetic	ctg151_14|biosynthetic	O9329_22570|biosynthetic			O9275_18060|biosynthetic	ctg327_21|biosynthetic	O9338_19550|biosynthetic		O9326_09970|biosynthetic	ctg304_3|biosynthetic	ctg188_16|biosynthetic	O9290_00385|biosynthetic	O9299_03955|biosynthetic	O9334_03685|biosynthetic	O9324_00065|biosynthetic	O9336_11525|biosynthetic
N1.HOG0000062	OG0000020	n0	ctg31_13|hypothetical	ctg207_5|hypothetical	ctg388_5|hypothetical	ctg725_17|hypothetical	ctg151_11|hypothetical	O9329_22550|hypothetical				ctg327_15|hypothetical	O9338_19530|hypothetical		O9326_10005|hypothetical	ctg304_12|hypothetical	ctg188_13|hypothetical	O9290_00405|hypothetical	O9299_03940|hypothetical	O9334_03670|hypothetical	O9324_00100|hypothetical	O9336_11510|hypothetical
N1.HOG0000063	OG0000021	n0	ctg31_14|hypothetical	ctg207_6|hypothetical	ctg388_4|hypothetical	ctg725_14|hypothetical	ctg151_12|hypothetical	O9329_22560|hypothetical				ctg327_19|hypothetical	O9338_19540|hypothetical		O9326_09995|hypothetical	ctg304_8|hypothetical	ctg188_14|hypothetical	O9290_00395|hypothetical	O9299_03945|hypothetical	O9334_03675|hypothetical	O9324_00090|hypothetical	O9336_11515|hypothetical
N1.HOG0000064	OG0000022	n0	ctg31_17|hypothetical	ctg207_9|hypothetical	ctg388_1|hypothetical	ctg725_11|hypothetical		O9329_22575|hypothetical			O9275_18065|hypothetical	ctg327_22|hypothetical	O9338_19555|hypothetical		O9326_09965|hypothetical	ctg304_2|hypothetical	ctg188_17|hypothetical	O9290_00380|hypothetical	O9299_03960|hypothetical	O9334_03690|hypothetical	O9324_00060|hypothetical	O9336_11530|hypothetical
N1.HOG0000065	OG0000023	n0	ctg35_51|hypothetical	ctg158_52|hypothetical	ctg431_31|hypothetical	ctg763_2|hypothetical	ctg130_18|hypothetical	O9329_20425|hypothetical		O9300_09075|hypothetical		ctg107_3|hypothetical	O9338_01125|hypothetical		O9326_10290|hypothetical	ctg160_7|hypothetical	ctg168_27|hypothetical	O9290_19120|hypothetical	O9299_19085|hypothetical	O9334_08780|hypothetical		O9336_00700|hypothetical
N1.HOG0000066	OG0000024	n3	ctg35_63|hypothetical			ctg682_5|hypothetical					O9275_23085|hypothetical						ctg168_15|hypothetical	O9290_15735|hypothetical				
N1.HOG0000067	OG0000024	n7	ctg35_64|hypothetical			ctg608_25|hypothetical, ctg682_6|hypothetical							O9338_13415|hypothetical, O9338_13420|hypothetical		O9326_10350|hypothetical	ctg398_24|hypothetical, ctg160_19|hypothetical	ctg168_14|hypothetical	O9290_15740|hypothetical				
N1.HOG0000068	OG0000025	n0	ctg38_42|hypothetical		ctg46_9|hypothetical	ctg527_22|hypothetical	ctg109_30|hypothetical	O9329_24750|hypothetical		O9300_15380|hypothetical	O9275_00735|hypothetical	ctg93_21|hypothetical	O9338_13165|hypothetical		O9326_02710|hypothetical	ctg221_15|hypothetical	ctg3_42|hypothetical	O9290_23375|hypothetical	O9299_01685|hypothetical		O9324_03710|hypothetical	O9336_08795|hypothetical
N1.HOG0000069	OG0000026	n0	ctg38_47|biosynthetic-additional	ctg161_40|biosynthetic-additional	ctg46_5|biosynthetic-additional		ctg109_34|biosynthetic-additional	O9329_24770|biosynthetic-additional		O9300_15360|biosynthetic-additional		ctg93_25|biosynthetic-additional, ctg16_75|biosynthetic-additional		ctg562_4|biosynthetic-additional	O9326_02730|biosynthetic-additional	ctg221_19|biosynthetic-additional	ctg3_46|biosynthetic-additional		O9299_01665|biosynthetic-additional	O9334_01920|biosynthetic-additional	O9324_03730|biosynthetic-additional	O9336_08815|biosynthetic-additional
N1.HOG0000070	OG0000027	n0	ctg31_11|hypothetical	ctg207_3|hypothetical	ctg388_7|hypothetical	ctg725_19|hypothetical	ctg151_9|hypothetical					ctg327_13|hypothetical	O9338_19520|hypothetical		O9326_10015|hypothetical	ctg304_14|hypothetical	ctg188_11|hypothetical	O9290_00415|hypothetical	O9299_03930|hypothetical	O9334_03660|hypothetical	O9324_00110|hypothetical	O9336_11500|hypothetical
N1.HOG0000071	OG0000028	n0	ctg31_12|hypothetical	ctg207_4|hypothetical	ctg388_6|hypothetical	ctg725_18|hypothetical	ctg151_10|hypothetical					ctg327_14|hypothetical	O9338_19525|hypothetical		O9326_10010|hypothetical	ctg304_13|hypothetical	ctg188_12|hypothetical	O9290_00410|hypothetical	O9299_03935|hypothetical	O9334_03665|hypothetical	O9324_00105|hypothetical	O9336_11505|hypothetical
N1.HOG0000072	OG0000029	n0	ctg35_50|other	ctg158_51|other	ctg431_32|other	ctg763_1|other	ctg130_19|other			O9300_09080|other		ctg107_2|hypothetical	O9338_01130|other		O9326_10285|other	ctg160_6|other	ctg168_28|other	O9290_19115|other	O9299_19080|other	O9334_08785|other		O9336_00695|other
N1.HOG0000073	OG0000030	n0	ctg38_48|hypothetical	ctg161_39|hypothetical	ctg46_4|hypothetical		ctg109_35|hypothetical	O9329_24775|hypothetical		O9300_15355|hypothetical		ctg93_26|hypothetical		ctg562_5|hypothetical	O9326_02735|hypothetical	ctg221_20|hypothetical	ctg3_47|hypothetical		O9299_01660|hypothetical	O9334_01915|hypothetical	O9324_03735|hypothetical	O9336_08820|hypothetical
N1.HOG0000074	OG0000031	n1			ctg138_10|biosynthetic-additional, ctg138_11|biosynthetic-additional, ctg138_12|biosynthetic-additional	ctg148_26|biosynthetic-additional										ctg188_4|hypothetical, ctg188_5|hypothetical		O9290_00980|biosynthetic-additional			O9324_18505|biosynthetic-additional, O9324_18500|biosynthetic-additional, O9324_18495|biosynthetic-additional	
N1.HOG0000075	OG0000031	n11						O9329_24285|biosynthetic-additional				ctg71_24|biosynthetic-additional										
N1.HOG0000076	OG0000031	n13						O9329_24270|biosynthetic-additional				ctg71_21|biosynthetic-additional										
N1.HOG0000077	OG0000032	n0	ctg43_11|transport	ctg55_35|transport	ctg358_4|transport	ctg608_13|transport, ctg148_31|transport	ctg6_11|transport	O9329_17555|transport		O9300_03870|transport		ctg151_33|transport	O9338_13475|transport			ctg398_14|transport, ctg122_23|transport		O9290_00950|transport		O9334_10145|transport		
N1.HOG0000078	OG0000033	n0	ctg43_13|other	ctg55_33|other	ctg358_6|other	ctg608_11|other	ctg6_9|other	O9329_17545|other		O9300_03860|other	O9275_03905|hypothetical	ctg151_31|other	O9338_13485|other	ctg49_3|other	O9326_04750|other	ctg398_12|other				O9334_10135|other		
N1.HOG0000079	OG0000034	n0	ctg35_56|hypothetical	ctg158_57|hypothetical	ctg431_25|hypothetical		ctg130_13|hypothetical			O9300_09050|hypothetical	O9275_01110|hypothetical	ctg107_8|hypothetical			O9326_10315|hypothetical	ctg160_12|hypothetical	ctg168_22|hypothetical		O9299_19110|hypothetical	O9334_08755|hypothetical	O9324_16765|hypothetical	O9336_00725|hypothetical
N1.HOG0000080	OG0000035	n0	ctg38_49|hypothetical	ctg161_38|hypothetical	ctg46_3|hypothetical		ctg109_36|hypothetical	O9329_24780|hypothetical		O9300_15350|hypothetical		ctg93_27|hypothetical			O9326_02740|hypothetical	ctg221_21|hypothetical	ctg3_48|hypothetical		O9299_01655|hypothetical	O9334_01910|hypothetical	O9324_03740|hypothetical	O9336_08825|hypothetical
N1.HOG0000081	OG0000036	n0	ctg38_50|hypothetical	ctg161_37|hypothetical	ctg46_2|hypothetical		ctg109_37|hypothetical	O9329_24785|hypothetical		O9300_15345|hypothetical		ctg93_28|hypothetical			O9326_02745|hypothetical	ctg221_22|hypothetical	ctg3_49|hypothetical		O9299_01650|hypothetical	O9334_01905|hypothetical	O9324_03745|hypothetical	O9336_08830|hypothetical
N1.HOG0000082	OG0000037	n0		ctg80_4|hypothetical	ctg569_3|hypothetical	ctg104_7|hypothetical		O9329_09340|hypothetical		O9300_01900|hypothetical		ctg166_21|hypothetical	O9338_13700|hypothetical		O9326_16465|hypothetical	ctg112_5|hypothetical	ctg25_17|hypothetical	O9290_00615|hypothetical	O9299_10865|hypothetical	O9334_13435|hypothetical	O9324_19135|hypothetical	O9336_14540|hypothetical
N1.HOG0000083	OG0000038	n1		ctg217_22|hypothetical		ctg725_6|other																
N1.HOG0000084	OG0000038	n3			ctg46_1|hypothetical			O9329_22600|hypothetical		O9300_15340|hypothetical		ctg327_27|hypothetical							O9299_01645|other			O9336_08835|other
