Gene	Annotation	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	fisher_p	fisher_q	empirical_p	fq*ep	contrasting	supporting	opposing	best	worst
N0.HOG0000145	protein	4	3	1	10	80.0	76.92307692307693	13.333333333333334	0.047385620915033	1.0	0.3681592039800995	0.3681592039800995	3	2	1	1.0	1.0
N0.HOG0000146	protein	4	3	1	10	80.0	76.92307692307693	13.333333333333334	0.047385620915033	1.0	0.3681592039800995	0.3681592039800995	3	2	1	1.0	1.0
N0.HOG0000166	protein	4	2	1	11	80.0	84.61538461538461	22.0	0.0217086834733894	1.0	0.38308457711442784	0.38308457711442784	3	2	1	1.0	1.0
N0.HOG0000161	protein	4	2	1	11	80.0	84.61538461538461	22.0	0.0217086834733894	1.0	0.47761194029850745	0.47761194029850745	3	2	1	1.0	1.0
N0.HOG0000102	protein	1	10	4	3	80.0	76.92307692307693	0.075	0.047385620915033	1.0	0.5074626865671642	0.5074626865671642	3	1	2	1.0	1.0
N0.HOG0000337	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000268	(rule-based-clusters) Glycos_transf_2	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000269	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000270	(rule-based-clusters) terpene: terpene_cyclase	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000271	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000336	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000341	(smcogs) SMCOG1268:mandelate racemase/muconate lactonizing enzyme (Score: 60.5; E-value: 2.1e-18)	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000356	(rule-based-clusters) Glycos_transf_2	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000355	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000272	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000340	(rule-based-clusters) AMP-binding	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000339	(rule-based-clusters) Aminotran_5	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000338	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000357	protein	3	0	2	13	60.0	100.0	inf	0.0122549019607843	1.0	0.5920398009950248	0.5920398009950248	1	1	0	1.0	1.0
N0.HOG0000016	(rule-based-clusters) NRPS: Condensation	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.746268656716418	0.746268656716418	2	1	1	1.0	1.0
N0.HOG0000283	(smcogs) SMCOG1166:transporter, EamA family (Score: 62.6; E-value: 6.9e-19)	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.746268656716418	0.746268656716418	2	1	1	1.0	1.0
N0.HOG0000276	(smcogs) SMCOG1061:methyl-accepting chemotaxis protein (Score: 307.1; E-value: 4.2e-93)	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.7910447761194029	0.7910447761194029	2	1	1	1.0	1.0
N0.HOG0000284	protein	3	1	2	12	60.0	92.3076923076923	18.0	0.0441176470588235	1.0	0.7910447761194029	0.7910447761194029	2	1	1	1.0	1.0
N0.HOG0000022	(rule-based-clusters) cyanobactin: cyanobactin_synth	2	12	3	1	60.0	92.3076923076923	0.0555555555555555	0.0441176470588235	1.0	1.0	1.0	2	1	1	1.0	1.0
